Date,Open,High,Low,Close,Adj Close,Volume,prediction,portfolio_value,action,daily_return
2010-06-29,3.8,5.0,3.508,4.778,4.778,93831500,0,10000.0,hold,
2010-06-30,5.158,6.084,4.66,4.766,4.766,85935500,0,10000.0,hold,0.0
2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000,0,10000.0,hold,0.0
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000,0,10000.0,hold,0.0
2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500,0,10000.0,hold,0.0
2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500,-1,10000.0,hold,0.0
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000,0,10000.0,hold,0.0
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000,0,10000.0,hold,0.0
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500,0,10000.0,hold,0.0
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500,0,10000.0,hold,0.0
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000,1,10000.0,buy,0.0
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000,0,10000.301599999999,hold,3.0159999999890275e-05
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500,0,10007.801599999999,hold,0.0007499773806822763
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500,0,10020.5016,hold,0.0012690099691825552
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500,0,10004.4016,hold,-0.0016067059956360596
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500,0,10003.6016,hold,-7.996480269234496e-05
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000,0,10011.4016,hold,0.0007797191763414535
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000,0,10014.301599999999,hold,0.0002896697301604245
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000,0,10010.9016,hold,-0.00033951444002844333
2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500,0,10006.9016,hold,-0.00039956441086186345
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000,0,10008.6016,hold,0.00016988275371887518
2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000,0,10004.9016,hold,-0.0003696820143186397
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500,0,10000.801599999999,hold,-0.0004097991328571027
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500,0,10010.6016,hold,0.0009799214494967678
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500,0,10020.9016,hold,0.0010289091916313442
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000,-1,10014.0016,sell,-0.000688560797762916
2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000,0,10013.788999999999,hold,-2.123027421929713e-05
2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500,0,10013.788999999999,hold,0.0
2010-08-09,3.98,3.996,3.89,3.92,3.92,4063500,0,10013.788999999999,hold,0.0
2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500,0,10013.788999999999,hold,0.0
2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000,-1,10013.788999999999,hold,0.0
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000,0,10013.788999999999,hold,0.0
2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000,0,10013.788999999999,hold,0.0
2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000,0,10013.788999999999,hold,0.0
2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500,0,10013.788999999999,hold,0.0
